date,brand,package,country,revenue_rank_tools,revenue_rank_apps,revenue_rank_overall,top_free_rank_tools,top_free_rank_apps,top_free_rank_overall,status,status_detail,source_url,crawl_time,page_loaded_screenshot,tooltip_frame_screenshot,retry_count,series_name,source_point_date_text,raw_x,raw_tooltip,ranking_metrics_json
2026-05-20,ldcloud,,BR,167,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=BR&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #167",
2026-05-20,ldcloud,,DE,278,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=DE&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud - Android Cloud Phone 收入排行 - 工具 #278",
2026-05-20,ldcloud,,FR,344,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=FR&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #344",
2026-05-20,ldcloud,,GB,335,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=GB&tab=category_rankings,2026-06-18,,,,,,130.14,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #335",
2026-05-20,ldcloud,,HK,118,589,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=HK&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 雷電雲手機 - RO仙境傳說安卓雲端模擬器全天掛機多開不掉線 收入排行 - 工具 #118 收入排行 - 应用 #589",
2026-05-20,ldcloud,,ID,50,370,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=ID&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #50 收入排行 - 应用 #370",
2026-05-20,ldcloud,,IN,415,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=IN&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #415",
2026-05-20,ldcloud,,IT,392,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=IT&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #392",
2026-05-20,ldcloud,,JP,380,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=JP&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-クラウド電話シミュレーター 收入排行 - 工具 #380",
2026-05-20,ldcloud,,KR,17,369,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=KR&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud - Android 클라우드 에뮬레이터 收入排行 - 工具 #17 收入排行 - 应用 #369",
2026-05-20,ldcloud,,MX,,,,,,,SCAN_UNCERTAIN,,https://app.sensortower.com/overview/com.ld.cph.gl?country=MX&tab=category_rankings,2026-06-18,,,,,,,,
2026-05-20,ldcloud,,MY,310,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=MY&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud - Android Cloud Phone 收入排行 - 工具 #310",
2026-05-20,ldcloud,com.ld.cph.gl,PH,220,,,538,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.ld.cph.gl?country=PH&tab=category_rankings,2026-06-18 15:19:49,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260618_151930\history_ldcloud_PH_all_visible_20260618_151935_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260618_151930\history_ldcloud_PH_all_visible_frame_001_2026-05-20_20260618_151936_096789.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #220 热门免费 - 工具 #538","{""revenue_rank_apps"": """", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""220"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": ""538""}"
2026-05-20,ldcloud,,PL,,,,,,,SCAN_UNCERTAIN,,https://app.sensortower.com/overview/com.ld.cph.gl?country=PL&tab=category_rankings,2026-06-18,,,,,,,,
2026-05-20,ldcloud,,SG,100,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=SG&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #100",
2026-05-20,ldcloud,,TH,18,244,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=TH&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #18 收入排行 - 应用 #244",
2026-05-20,ldcloud,,TR,218,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=TR&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Game 收入排行 - 工具 #218",
2026-05-20,ldcloud,,TW,14,287,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=TW&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 雷電雲手機 - RO仙境傳說安卓雲端模擬器全天掛機多開不掉線 收入排行 - 工具 #14 收入排行 - 应用 #287",
2026-05-20,ldcloud,,US,216,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=US&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 工具 #216",
2026-05-20,ldcloud,,VN,,445,,,,,SUCCESS,,https://app.sensortower.com/overview/com.ld.cph.gl?country=VN&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 LDCloud-Cloud Phone for Roblox 收入排行 - 应用 #445",
2026-05-20,redfinger,,BR,297,,,,,,SUCCESS,,https://app.sensortower.com/overview/com.redfinger.global?country=BR&tab=category_rankings,2026-06-18,,,,,,132.71,"Wednesday, May 20, 2026 Redfinger - telefone na nuvem 收入排行 - 工具 #297",
