brand,country,observed_days,first_rank_date,latest_rank_date,latest_crawl_time
ldcloud,BR,34,2026-05-20,2026-06-22,2026-06-22 10:34:51
ldcloud,DE,34,2026-05-20,2026-06-22,2026-06-22 10:50:31
ldcloud,FR,34,2026-05-20,2026-06-22,2026-06-22 10:54:49
ldcloud,GB,34,2026-05-20,2026-06-22,2026-06-22 10:51:38
ldcloud,HK,34,2026-05-20,2026-06-22,2026-06-22 10:38:11
ldcloud,ID,34,2026-05-20,2026-06-22,2026-06-22 10:37:21
ldcloud,IN,34,2026-05-20,2026-06-22,2026-06-22 10:52:48
ldcloud,IT,34,2026-05-20,2026-06-22,2026-06-22 10:53:43
ldcloud,JP,34,2026-05-20,2026-06-22,2026-06-22 10:48:31
ldcloud,KR,34,2026-05-20,2026-06-22,2026-06-22 10:39:43
ldcloud,MX,34,2026-05-20,2026-06-22,2026-06-22 10:44:33
ldcloud,MY,34,2026-05-20,2026-06-22,2026-06-22 10:36:30
ldcloud,PH,34,2026-05-20,2026-06-22,2026-06-22 10:34:03
ldcloud,PL,34,2026-05-20,2026-06-22,2026-06-22 10:49:29
ldcloud,SG,34,2026-05-20,2026-06-22,2026-06-22 10:45:41
ldcloud,TH,34,2026-05-20,2026-06-22,2026-06-22 10:32:26
ldcloud,TR,34,2026-05-20,2026-06-22,2026-06-22 10:35:34
ldcloud,TW,34,2026-05-20,2026-06-22,2026-06-22 10:38:58
ldcloud,US,34,2026-05-20,2026-06-22,2026-06-22 10:40:42
ldcloud,VN,34,2026-05-20,2026-06-22,2026-06-22 10:33:15
redfinger,BR,34,2026-05-20,2026-06-22,2026-06-22 11:32:01
redfinger,DE,34,2026-05-20,2026-06-22,2026-06-22 11:46:20
redfinger,FR,34,2026-05-20,2026-06-22,2026-06-22 11:52:50
redfinger,GB,34,2026-05-20,2026-06-22,2026-06-22 11:47:32
redfinger,HK,34,2026-05-20,2026-06-22,2026-06-22 11:35:52
redfinger,ID,34,2026-05-20,2026-06-22,2026-06-22 11:34:58
redfinger,IN,34,2026-05-20,2026-06-22,2026-06-22 11:48:45
redfinger,IT,34,2026-05-20,2026-06-22,2026-06-22 11:50:02
redfinger,JP,34,2026-05-20,2026-06-22,2026-06-22 11:42:04
redfinger,KR,34,2026-05-20,2026-06-22,2026-06-22 11:37:38
redfinger,MX,34,2026-05-20,2026-06-22,2026-06-22 11:40:10
redfinger,MY,34,2026-05-20,2026-06-22,2026-06-22 11:33:54
redfinger,PH,34,2026-05-20,2026-06-22,2026-06-22 11:31:06
redfinger,PL,34,2026-05-20,2026-06-22,2026-06-22 11:43:27
redfinger,SG,34,2026-05-20,2026-06-22,2026-06-22 11:41:00
redfinger,TH,34,2026-05-20,2026-06-22,2026-06-22 11:29:24
redfinger,TR,34,2026-05-20,2026-06-22,2026-06-22 11:33:13
redfinger,TW,34,2026-05-20,2026-06-22,2026-06-22 11:36:41
redfinger,US,34,2026-05-20,2026-06-22,2026-06-22 11:38:46
redfinger,VN,34,2026-05-20,2026-06-22,2026-06-22 11:30:12
ugphone,BR,34,2026-05-20,2026-06-22,2026-06-22 10:13:14
ugphone,DE,34,2026-05-20,2026-06-22,2026-06-22 10:23:30
ugphone,FR,34,2026-05-20,2026-06-22,2026-06-22 10:27:08
ugphone,GB,34,2026-05-20,2026-06-22,2026-06-22 10:24:16
ugphone,HK,34,2026-05-20,2026-06-22,2026-06-22 10:16:29
ugphone,ID,34,2026-05-20,2026-06-22,2026-06-22 10:15:45
ugphone,IN,34,2026-05-20,2026-06-22,2026-06-22 10:25:15
ugphone,IT,34,2026-05-20,2026-06-22,2026-06-22 10:26:12
ugphone,JP,34,2026-05-20,2026-06-22,2026-06-22 10:21:39
